file_project,total_downloads
junit-xml,1596024
pytest-metadata,1594763
azure-cosmosdb-table,1594319
rx,1591281
win-inet-pton,1590474
azure-cli-configure,1588330
jeepney,1581627
coala,1580904
pg8000,1579755
azure-cli-cloud,1579309
autobahn,1579174
analytics-python,1577776
azure-multiapi-storage,1575836
pynamodb,1573604
pygame,1573299
django-nose,1571868
azure-cli-redis,1567161
ast,1563751
whoosh,1563085
azure-cli-feedback,1561344
vsts-cd-manager,1558979
path-py,1556967
odfpy,1554783
mongoengine,1553624
azure-cli-backup,1553414
pygobject,1553093
azure-cli-consumption,1552504
azure-cli-find,1551950
urwid,1547054
slackweb,1545192
azure-cli-eventgrid,1544507
black,1543863
python-cinderclient,1543790
azure-cli-billing,1543118
django-crispy-forms,1542075
tablib,1541894
parameterized,1539648
tf-nightly,1537071
azure-cli-advisor,1535583
tinycss2,1535456
brunel,1528682
awsebcli,1523612
cchardet,1522079
azure-cosmosdb-nspkg,1520394
cvxopt,1518928
commonmark,1517832
pythonwhois,1516664
azure-mgmt-notificationhubs,1515381
rq,1510887
antlr4-python3-runtime,1508156
pygsheets,1507801
luigi,1505959
validate-email,1504868
rfc3987,1499901
dulwich,1496822
ddt,1495969
initools,1495381
shortuuid,1493194
rjsmin,1493052
wordsegment,1479246
bitarray,1477204
azure-storage-queue,1476695
pylru,1465521
elasticsearch-curator,1460514
pyphen,1458185
flexget,1454104
flask-httpauth,1452639
azure-servicefabric,1452105
python-openid,1451519
fakeredis,1451238
azure-mgmt-iotcentral,1450696
pycairo,1448881
django-compressor,1448078
azure-mgmt-policyinsights,1445782
pylint-plugin-utils,1443674
azure-mgmt-maps,1442174
azure-mgmt-signalr,1441975
tempita,1438617
googlemaps,1434024
mleap,1433326
javaobj-py3,1429488
warlock,1424674
requests-ntlm,1424643
zc-buildout,1423891
pre-commit,1422882
flask-cache,1420947
rasterio,1420792
pyjks,1418416
distribute,1418098
twofish,1411379
lz4,1409035
mrjob,1404013
readme-renderer,1401900
python-openstackclient,1395999
cfn-flip,1394682
